EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
579726,DALLAS CO.,FLORENCE HILL,05/29/2015,324,Flash Flood, , ,0,0,0,0,TX,CST-6, ,95972,C,113,FWD,0,0,Social Media,Heavy Rain, , ,1,NW,1,WNW,FLORENCE HILL,32.6772,-97.0086,32.6743,-97.0125,32
579729,DALLAS CO.,SACHSE,05/29/2015,750,Flash Flood, , ,0,0,0,0,TX,CST-6, ,95972,C,113,FWD,0,0,Public,Heavy Rain, , ,2,E,1,WNW,PLEASANT VLY,32.9811,-96.5424,32.9528,-96.5808,33
579732,DALLAS CO.,HENSLEY FLD ARPT,05/29/2015,759,Flash Flood, , ,0,0,0,0,TX,CST-6, ,95972,C,113,FWD,0,0,Public,Heavy Rain, , ,1,NNE,1,NE,HENSLEY FLD ARPT,32.7677,-96.917,32.7648,-96.9168,34
579735,DALLAS CO.,HENSLEY FLD ARPT,05/29/2015,815,Flash Flood, , ,0,0,0,0,TX,CST-6, ,95972,C,113,FWD,0,0,Social Media,Heavy Rain, , ,1,W,1,WSW,HENSLEY FLD ARPT,32.7479,-96.9441,32.7434,-96.9451,35
583021,DALLAS CO.,CEDAR HILL,05/29/2015,845,Flood, , ,0,0,0,0,TX,CST-6, ,95972,C,113,FWD,0,0,Law Enforcement,Heavy Rain, , ,5,WSW,2,NNW,COPPELL,32.5493,-97.0331,32.9834,-97.0319,36
579762,DALLAS CO.,SACHSE,05/30/2015,638,Flash Flood, , ,0,0,0,0,TX,CST-6, ,95972,C,113,FWD,0,0,Trained Spotter,Heavy Rain, , ,1,W,1,W,SACHSE,32.9828,-96.589,32.9807,-96.5905,37
579761,DALLAS CO.,ROWLETT,05/30/2015,638,Flash Flood, , ,0,0,0,0,TX,CST-6, ,95972,C,113,FWD,0,0,Trained Spotter,Heavy Rain, , ,1,NNW,0,SW,ROWLETT,32.9086,-96.5724,32.8986,-96.5724,38
579763,DALLAS CO.,GARLAND,05/30/2015,730,Flash Flood, , ,0,0,0,0,TX,CST-6, ,95972,C,113,FWD,0,0,Emergency Manager,Heavy Rain, , ,2,W,3,SSW,GARLAND,32.9177,-96.6622,32.8805,-96.6423,39
584743,DALLAS CO.,HIGHLAND PARK,06/09/2015,1529,Flash Flood, , ,0,0,30000,0,TX,CST-6, ,97064,C,113,FWD,0,0,Broadcast Media,Heavy Rain, , ,2,NW,2,SE,(DAL)LOVE FLD DALLAS,32.8417,-96.7916,32.8317,-96.8349,40
604492,DALLAS CO.,FRUITDALE,10/23/2015,1100,Flash Flood, , ,0,0,100000,0,TX,CST-6, ,100423,C,113,FWD,0,0,Emergency Manager,Heavy Rain, , ,1,ENE,3,E,BOUCHARD,32.7088,-96.714,32.8935,-96.7264,41
604063,DALLAS CO.,UNION BOWER,10/30/2015,2116,Flash Flood, , ,0,0,1000,0,TX,CST-6, ,100424,C,113,FWD,0,0,Law Enforcement,Heavy Rain, , ,2,ESE,2,S,(DAL)LOVE FLD DALLAS,32.8199,-96.8644,32.8172,-96.8528,42
604064,DALLAS CO.,DALLAS,10/30/2015,2230,Flash Flood, , ,0,0,1000,0,TX,CST-6, ,100424,C,113,FWD,0,0,Social Media,Heavy Rain, , ,1,NW,1,NNW,DALLAS,32.782,-96.7904,32.7842,-96.7841,43
605971,DALLAS CO.,COCKRELL HILL,10/30/2015,2245,Flash Flood, , ,0,0,2000,0,TX,CST-6, ,100424,C,113,FWD,0,0,Law Enforcement,Heavy Rain, , ,1,WSW,1,W,COCKRELL HILL,32.7121,-96.8938,32.7178,-96.8923,44
604065,DALLAS CO.,ROWLETT,10/31/2015,5,Flash Flood, , ,0,0,1000,0,TX,CST-6, ,100424,C,113,FWD,0,0,Emergency Manager,Heavy Rain, , ,0,N,1,ENE,ROWLETT,32.9,-96.57,32.9033,-96.558,45
604066,DALLAS CO.,EAST DALLAS,10/31/2015,16,Flash Flood, , ,0,0,10000,0,TX,CST-6, ,100424,C,113,FWD,0,0,Social Media,Heavy Rain, , ,1,ENE,1,ENE,EAST DALLAS,32.7745,-96.7394,32.7745,-96.7374,46
608897,DALLAS CO.,COPPELL,11/27/2015,120,Flash Flood, , ,0,0,0,0,TX,CST-6, ,101545,C,113,FWD,0,0,Mesonet,Heavy Rain, , ,2,NNE,4,W,CEDAR HILL,32.9742,-97.0134,32.5759,-97.0189,47
608900,DALLAS CO.,COPPELL,11/27/2015,330,Flood, , ,1,0,50000,0,TX,CST-6, ,101545,C,113,FWD,0,0,Mesonet,Heavy Rain, , ,2,NNE,2,NNW,SACHSE,32.9742,-97.0134,33.0067,-96.5818,48
611672,DALLAS CO.,CEDAR HILL,12/26/2015,1957,Flash Flood, , ,0,0,50000,0,TX,CST-6, ,101364,C,113,FWD,0,0,Social Media,Heavy Rain, , ,4,W,2,NNW,COPPELL,32.5759,-97.0189,32.9833,-97.0314,49
650535,DALLAS CO.,HIGHLAND PARK,07/05/2016,130,Flood, , ,1,0,15000,0,TX,CST-6, ,108184,C,113,FWD,0,0,Newspaper,Heavy Rain, , ,2,W,3,NE,EAGLE FORD,32.8231,-96.8018,32.7988,-96.8374,50
656527,DALLAS CO.,SOWERS,08/19/2016,1700,Flash Flood, , ,0,0,0,0,TX,CST-6, ,109749,C,113,FWD,0,0,Trained Spotter,Heavy Rain, , ,2,NNW,0,S,SOWERS,32.8496,-96.9897,32.8147,-96.9811,51
659400,DALLAS CO.,GRIBBLE,09/26/2016,715,Flood, , ,0,0,0,0,TX,CST-6, ,110365,C,113,FWD,0,0,Public,Heavy Rain, , ,1,S,1,NNW,EAGLE FORD,32.859,-96.9241,32.7874,-96.8829,52
665056,DALLAS CO.,COPPELL,11/07/2016,1852,Flash Flood, , ,0,0,0,0,TX,CST-6, ,111242,C,113,FWD,0,0,Emergency Manager,Heavy Rain, , ,2,NNW,2,NNW,COPPELL,32.9769,-97.0349,32.9702,-97.0355,53
